model,seed,mean_reward,std_reward,min_reward,max_reward,mean_steps,std_steps,min_steps,max_steps,n_crashes,crash_rate,survival_rate
DQN,3,20.459229441686148,0.02294675691284593,20.454545454545464,20.571645133062454,30.0,0.0,30,30,0,0.0,100.0
DQN,333,19.78636363636365,2.8161319524400366,4.090909090909091,20.454545454545464,29.08,3.9081453401837556,7,30,3,6.0,94.0
DQN,3333,20.415978357206715,0.28716634838966176,18.409090909090914,20.571645133062454,29.96,0.27999999999999997,28,30,1,2.0,98.0
DDQN,3,20.466477272727285,0.035795454545453964,20.454545454545464,20.573863636363644,30.0,0.0,30,30,0,0.0,100.0
DDQN,333,19.937045454545466,2.6798853878755287,4.090909090909091,20.693181818181827,29.26,3.735291153310542,7,30,2,4.0,96.0
DDQN,3333,19.911477272727282,2.795138583862324,2.727272727272727,20.573863636363644,29.24,3.911828217087248,5,30,2,4.0,96.0
SB3,3,18.817627363316117,5.393718558395589,1.9229140799234825,23.39269151701942,26.64,7.911409482513214,3,30,8,16.0,84.0
SB3,333,20.33052272012228,3.365983254219268,3.494454616348164,23.55080626322596,28.76,4.470167782086037,6,30,4,8.0,92.0
SB3,3333,19.772166153820308,4.6768684378759815,1.9583725634928275,24.878913602789115,27.58,6.77374342590565,3,30,7,14.000000000000002,86.0
