model,overall_mean_reward,overall_std_reward,overall_survival_rate,overall_mean_steps,overall_crash_rate
DDQN,20.10500000000001,0.31330942693148117,97.33333333333333,29.5,2.6666666666666665
DQN,20.22052381175217,0.3766151317953185,97.33333333333333,29.679999999999996,2.6666666666666665
SB3,19.64010541241957,0.7650445214011377,87.33333333333333,27.66,12.666666666666666
